idle, timer, state
10,720,1
302,315,3
47,15039,1
50,3990,1
777,3843,3
116,2982,2
83,2654,1
161,2314,2
888,2079,3
701,910,3
39,10640,1
52,3991,1
3750,3802,3
32,6105,1
33,3991,1
3825,3881,3
33,1500,1
53,1242,1
219,1096,2
820,866,3
2378,2445,3
49,1286,1
55,1059,1
616,910,3
60,57,1
2853,2906,3
33,8743,1
48,3990,1
3744,3846,3
10,4232,1
32,3935,1
3728,3822,3
2213,3908,3
828,1487,3
453,473,3
49,795,1
59,572,1
22,493,1
459,467,3
373,380,3
856,939,3
793,886,3
700,795,3
31,891,1
42,700,1
494,595,3
849,930,3
2028,2124,3
31,3000,1
43,2802,1
4,2692,1
48,2611,1
81,2408,1
269,2101,2
140,1661,2
857,1454,3
375,412,3
58,1061,1
69,760,1
587,685,3
34,7040,1
37,3904,1
3601,3720,3
31,2694,1
43,2503,1
518,2396,3
894,1873,3
680,782,3
447,1243,3
170,575,2
313,335,3
46,6199,1
36,3996,1
3788,3889,3
30,1826,1
37,1616,1
765,1521,3
449,561,3
39,2166,1
717,1854,3
805,953,3
31,13663,1
42,3995,1
3787,3886,3
31,9283,1
43,3995,1
3787,3887,3
35,4894,1
43,3995,1
719,3886,3
989,3161,3
2069,2168,3
31,502,1
43,306,1
173,199,2
73,3607,1
3150,3251,3
28,12243,1
34,3979,1
3786,3886,3
31,7868,1
42,3995,1
1902,3888,3
63,1723,1
204,1544,2
926,1271,3
139,149,2
44,3610,1
40,3381,1
3221,3253,3
248,265,2
40,4327,1
39,3996,1
3863,3893,3
89,10666,1
381,10422,3
3427,9826,3
179,6054,2
984,5636,3
2720,4694,3
161,1636,2
811,1162,3
105,109,2
2596,5567,3
214,2613,2
107,2136,2
1872,1915,3
1468,10166,3
305,8361,3
3282,7737,3
120,4111,2
267,3713,2
3127,3179,3
48,6179,1
4211,5581,3
27,1007,1
925,959,3
720,1404,3
406,456,3
39,20,1
929,963,3
124,803,2
379,413,3
896,932,3
490,818,3
33,4,1
920,953,3
810,2604,3
557,1425,3
585,637,3
2445,5679,3
2831,2867,3
1236,9860,3
4290,8319,3
3594,3646,3
50,15990,1
4233,15354,3
4350,10756,3
4305,6043,3
781,1352,3
296,326,2
76,16030,1
2253,15452,3
4306,12862,3
4361,8199,3
247,3456,2
2873,2953,3
557,2142,3
83,1274,1
900,1167,3
74,62,1
3019,4651,3
220,1272,2
853,933,3
674,3900,3
1781,2977,3
567,847,3
849,892,3
59,857,1
