cpu-id,start time(ms),width(us),actual state,predicted state,delta time(ms)
1,329.811,944.0,4,4,1.001
1,330.788,402.0,4,4,0.977
1,331.512,65.0,3,2,0.724
1,331.662,46.0,2,2,0.15
1,331.713,23.0,4,2,0.051
1,331.802,957.0,4,4,0.089
1,332.834,2435.0,4,4,1.032
1,335.56,71.0,3,2,2.726
1,335.724,68.0,4,2,0.164
1,335.868,943.0,4,4,0.144
1,336.896,94.0,2,2,1.028
1,337.127,104.0,4,3,0.231
1,337.349,248.0,4,3,0.222
1,337.671,864.0,4,4,0.322
1,338.627,73.0,2,2,0.956
1,338.705,19.0,4,2,0.078
1,338.734,214.0,4,3,0.029
1,339.417,241.0,2,3,0.683
1,340.054,115.0,4,3,0.637
1,340.495,224.0,3,3,0.441
1,340.761,334.0,3,4,0.266
1,341.293,133.0,4,3,0.532
1,341.497,114.0,3,3,0.204
1,341.623,73.0,2,2,0.126
1,341.7,132.0,3,3,0.077
1,342.168,30.0,2,2,0.468
1,342.233,468.0,2,4,0.065
1,342.704,359.0,3,4,0.471
1,343.353,14.0,3,2,0.649
1,343.413,91.0,3,2,0.06
1,343.563,129.0,2,3,0.15
1,343.695,379.0,3,4,0.132
1,344.142,279.0,3,3,0.447
1,344.463,254.0,3,3,0.321
1,344.74,825.0,4,4,0.277
1,345.756,68.0,2,2,1.016
1,345.946,836.0,4,4,0.19
1,346.94,217.0,4,3,0.994
1,347.424,110.0,3,3,0.484
1,347.644,56.0,2,2,0.22
1,347.754,229.0,3,3,0.11
1,348.056,698.0,4,4,0.302
1,348.814,298.0,3,3,0.758
1,349.213,541.0,4,4,0.399
1,349.812,461.0,3,4,0.599
1,350.436,317.0,3,4,0.624
1,350.797,399.0,4,4,0.361
1,351.65,50.0,2,2,0.853
1,351.704,68.0,4,2,0.054
1,351.851,898.0,4,4,0.147
1,352.98,801.0,4,4,1.129
1,354.071,23.0,4,2,1.091
1,354.243,482.0,3,4,0.172
1,354.759,281.0,3,3,0.516
1,355.294,86.0,3,2,0.535
1,355.749,164.0,4,3,0.455
1,356.008,294.0,4,3,0.259
1,356.353,361.0,3,4,0.345
1,356.753,310.0,4,4,0.4
1,357.236,482.0,4,4,0.483
1,357.959,92.0,3,2,0.723
1,358.345,115.0,3,3,0.386
1,358.512,198.0,3,3,0.167
1,358.742,93.0,3,2,0.23
1,358.896,76.0,3,2,0.154
1,359.909,279.0,2,3,1.013
1,360.245,514.0,4,4,0.336
1,360.794,2257.0,4,4,0.549
1,363.292,108.0,4,3,2.498
1,363.465,130.0,3,3,0.173
1,363.671,34.0,2,2,0.206
1,363.711,1049.0,4,4,0.04
1,364.819,926.0,4,4,1.108
1,365.771,74.0,2,2,0.952
1,366.018,776.0,4,4,0.247
1,366.826,300.0,4,3,0.808
1,367.411,83.0,4,2,0.585
1,367.587,46.0,2,2,0.176
1,367.729,1031.0,4,4,0.142
1,368.901,915.0,4,4,1.172
1,369.887,509.0,3,4,0.986
1,371.062,40.0,4,2,1.175
1,371.607,178.0,4,3,0.545
1,372.054,720.0,4,4,0.447
1,372.842,280.0,4,3,0.788
1,374.175,258.0,3,3,1.333
1,374.641,87.0,2,2,0.466
1,374.733,72.0,4,2,0.092
1,375.572,131.0,2,3,0.839
1,375.706,73.0,3,2,0.134
1,375.841,464.0,3,4,0.135
1,376.394,322.0,3,4,0.553
1,376.733,1018.0,4,4,0.339
1,377.797,985.0,4,4,1.064
1,378.95,174.0,4,3,1.153
1,379.348,108.0,3,3,0.398
1,379.524,61.0,2,2,0.176
1,379.644,52.0,2,2,0.12
1,379.7,1053.0,4,4,0.056
1,380.808,909.0,4,4,1.108
1,381.751,974.0,4,4,0.943
1,382.842,83.0,4,2,1.091
1,383.405,63.0,3,2,0.563
1,383.573,134.0,2,3,0.168
1,383.711,1036.0,4,4,0.138
1,384.802,1013.0,4,4,1.091
1,386.096,710.0,4,4,1.294
1,386.893,144.0,2,3,0.797
1,387.153,71.0,4,2,0.26
1,387.465,67.0,3,2,0.312
1,387.873,202.0,4,3,0.408
1,388.194,136.0,4,3,0.321
1,388.622,86.0,2,2,0.428
1,388.718,63.0,4,2,0.096
1,389.549,73.0,3,2,0.831
1,389.84,903.0,4,4,0.291
1,390.86,80.0,4,2,1.02
1,391.173,16.0,4,2,0.313
1,391.271,16.0,4,2,0.098
1,391.393,13.0,3,2,0.122
1,391.793,633.0,2,4,0.4
1,392.474,211.0,2,3,0.681
1,392.688,1065.0,4,4,0.214
1,393.812,970.0,4,4,1.124
1,394.909,230.0,4,3,1.097
1,395.364,91.0,3,2,0.455
1,395.519,54.0,2,2,0.155
1,395.623,77.0,2,2,0.104
1,395.704,1043.0,4,4,0.081
1,396.808,938.0,4,4,1.104
1,397.795,949.0,4,4,0.987
1,398.869,202.0,4,3,1.074
1,399.314,99.0,3,2,0.445
1,399.465,127.0,3,3,0.151
